뉴스url,제목,내용요약,날짜
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965612&plink=RSSLINK&cooper=RSSREADER,"이재명, 연평해전 전사자 묘역 참배…""국가 제1의무는 안보""",&#9650; 더불어민주당 이재명 대표가 설 연휴 마지막 날인 30일 국립대전현충원을 찾아 참배하고 있다.민주당 이재명 대표는 설 연휴 마지막 …,"Thu, 30 Jan 2025 21:22:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965565&plink=RSSLINK&cooper=RSSREADER,"이-문 ""통합 행보 공감""…여당, 헌재 공세 집중",정치권 소식도 전해 드리겠습니다. 이재명 민주당 대표는 문재인 전 대통령을 찾아가서 통합 행보를 하겠다고 밝혔습니다. 권성동 국민의힘 원내대표는 대통령 탄핵심판을 진행하는 헌법재판소가 편파적이라고 날을 세웠습니다.이 내용은 한소희 기자가 전하겠습니다.,"Thu, 30 Jan 2025 20:52:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965588&plink=RSSLINK&cooper=RSSREADER,"민주, 여당 의원들 윤 접견 추진에 ""맹목적 충성 경쟁""",&#9650; 황정아 더불어민주당 의원민주당은 국민의힘 권성동 원내대표 등 여당 의원들이 다음 주 서울구치소에 수감된 윤석열 대통령 접견을 추진…,"Thu, 30 Jan 2025 19:06:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965587&plink=RSSLINK&cooper=RSSREADER,"이재명, 미 여객기 추락사고 애도…""어려울 때 함께하는 게 동맹""","&#9650; 민주당 이재명 대표민주당 이재명 대표는 미국 워싱턴 DC 근교에서 여객기 추락 사고가 발생한 것과 관련해 ""사고로 희생된 …","Thu, 30 Jan 2025 19:06:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965543&plink=RSSLINK&cooper=RSSREADER,"문 전 대통령 ""통합이 당 앞길에 중요""…이재명 ""그런 행보할 것""","&#9650; 더불어민주당 이재명 대표가 설 연휴 마지막 날인 30일 오후 경남 양산시 하북면 평산마을 문재인 전 대통령 사저를 방문, 문 전 …","Thu, 30 Jan 2025 17:48:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965302&plink=RSSLINK&cooper=RSSREADER,[현장영상] 4개월 만에 평산마을 찾았다…극단적 환경에서 앞길 열려면?,설 연휴 마지막 날인 오늘 더불어민주당 이재명 대표가 경남 양산시 평산마을을 찾았습니다.지도부와 함께 평산마을을 찾아간 이 대표는 문 전 대통령…,"Thu, 30 Jan 2025 17:42:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965524&plink=RSSLINK&cooper=RSSREADER,"국민의힘 ""연금개혁 특위부터 구성…모수·구조개혁 함께""",&#9650; 국민의힘 권성동 원내대표가 30일 국회에서 열린 현안 관련 기자간담회에서 발언하고 있다. 국민의힘은 오늘 더불어민주당의 '…,"Thu, 30 Jan 2025 17:06:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965514&plink=RSSLINK&cooper=RSSREADER,"국민의힘 의원들 윤 대통령 접견 추진…""정당이 조폭이냐"" 비판도",&#9650; 윤석열 대통령설 연휴를 마친 국민의힘 의원들이 다음 주 서울구치소에 수감된 윤석열 대통령 접견을 추진하고 있습니다.권성동 원내대표…,"Thu, 30 Jan 2025 16:39:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965510&plink=RSSLINK&cooper=RSSREADER,"최상목 대행 내란 특검법 거부권 전망에…여당 ""상식""·야당 ""내란 동조""",&#9650; 최상목 대통령 권한대행최상목 대통령 권한대행이 야당 주도로 국회를 통과한 두 번째 '내란 특검법'에 재의요구권을 행…,"Thu, 30 Jan 2025 16:33:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965304&plink=RSSLINK&cooper=RSSREADER,"[현장영상] 연금개혁 특위 계속 거부해놓고…""민주당, 언제부터 연금 개혁 관심?""","설 연휴 마지막 날 권성동 국민의힘 원내대표가 기자간담회를 열었습니다.권 원내대표는 이재명 더불어민주당 대표를 향해 ""당장 국회에 연금개…","Thu, 30 Jan 2025 16:09:00 +0900"
