News_Link,News_Title,News_Overview
https://www.bbc.comhttps://www.bbc.com/news/live/cy7kxx74yxlt,"No survivors expected after plane and helicopter crash over Washington DC river, officials say",The American Airlines flight was carrying 64 people when it collided with a Black Hawk helicopter near Reagan National Airport.
https://www.bbc.com/news/videos/ckg7kw9jnn0o,Air traffic controllers appear to try to stop collision,Cut-down audio of air traffic controllers seemingly directing the helicopter to avoid the plane.
https://www.bbc.com/news/articles/c0rqpp52j5vo,"Who is Kash Patel, Trump's pick to shake up the FBI?",The US president's loyal supporter hopes to be confirmed to run an agency that he has criticised.
https://www.bbc.com/news/articles/c5yelgxk3rlo,Trump says US will send some migrants to Guantanamo Bay,"The president orders the construction of a detention facility at the US Navy base, prompting an angry backlash from Cuba."
https://www.bbc.com/news/articles/cqld9vqezqeo,FireAid concert: Who's performing and how to watch ,Stars including Billie Eilish and Olivia Rodrigo are set to help raise funds to rebuild the LA area.
https://www.bbc.com/news/videos/ckg7kw9jnn0o,Air traffic controllers appear to try to stop collision,Cut-down audio of air traffic controllers seemingly directing the helicopter to avoid the plane.
https://www.bbc.com/news/articles/c4g9kdgzj91o,What we know so far about the crash,The aircraft collided with a military helicopter that was on a training flight as it approached the runway.
https://www.bbc.com/news/articles/cn9370dny5xo,US figure skaters were on board crashed plane,"""Several"" members of the US Figure Skating world were on the aircraft that hit a helicopter, a statement says."
https://www.bbc.com/news/articles/c0rqpp52j5vo,"Who is Kash Patel, Trump's pick to shake up the FBI?",The US president's loyal supporter hopes to be confirmed to run an agency that he has criticised.
https://www.bbc.com/news/articles/cq6gze93mpno,Bishop of Liverpool resigns after assault claims,The Right Reverend Dr John Perumbalath denies the allegations from two women.
https://www.bbc.com/news/articles/c8r5076y05ko,BBC apologises for culture of silence over Russell Brand,"Staff felt they could not speak up with concerns about the star's behaviour, an internal review finds."
https://www.bbc.com/news/articles/c3e1pw7npklo,New oil and gas field consent was unlawful - judge,The judgement came after a case brought by environmental campaigners at the Court of Session in Edinburgh.
https://www.bbc.com/news/articles/c5yd9qzx79go,Water bills to rise by £10 a month in April,Figures reveal a jump for billpayers in England and Wales despite questions over firms' performance.
https://www.bbc.com/news/articles/c87d4e2v8l0o,Bowel cancer prediction test for IBD patients 90% accurate ,Scientists hope it could become a blood test to help spot those most at risk.
https://www.bbc.com/news/articles/c8r5076y05ko,BBC apologises for culture of silence over Russell Brand,"Staff felt they could not speak up with concerns about the star's behaviour, an internal review finds."
https://www.bbc.com/news/articles/c2egme9vp34o,New crime of endangering lives to target small boat crossings,"Border officials will also get powers to seize migrants' phones, under new laws unveiled by the Home Office."
https://www.bbc.com/news/articles/cp82jvd3g54o,"Shoplifters 'out of control' and becoming more brazen, say retailers",Shoplifters are carrying out brazen acts of theft because they 'do not fear any consequences'.
https://www.bbc.com/news/articles/c3e1pw7npklo,New oil and gas field consent was unlawful - judge,The judgement came after a case brought by environmental campaigners at the Court of Session in Edinburgh.
https://www.bbc.com/news/articles/ckgn1k9nleno,DR Congo president vows 'vigorous' fight to halt M23 rebel advance,"DR Congo's leader says the country ""will not let itself be humiliated"" after rebels seized the city of Goma."
https://www.bbc.com/news/articles/cwyekqn1k1ko,Zuma's daughter faces terrorism charges over South Africa riots,Duduzile Zuma-Sambudla is accused of inciting violence in 2021 following the jailing of her father.
https://www.bbc.com/sport/formula1/articles/cq8k55exqvko,Rwanda and South Africa race to bring F1 back to Africa,"Rwanda and South Africa hope to host an African grand prix for the first time since 1993, but several expensive obstacles stand in their way."
https://www.bbc.com/news/articles/cd6477844pdo,One survivor as 20 killed in South Sudan plane crash,Authorities say the plane carrying oil workers crashed three minutes after take-off. 
https://www.bbc.com/news/articles/c3604r84zjyo,How a US freeze upended global aid in a matter of days ,The State Department says the freeze was the only way to evaluate aid programs and defended the pause.
https://www.bbc.com/news/articles/cwyekqn1k1ko,Zuma's daughter faces terrorism charges over South Africa riots,Duduzile Zuma-Sambudla is accused of inciting violence in 2021 following the jailing of her father.
https://www.bbc.com/news/articles/ckgyzl1mlkvo,The evidence that shows Rwanda is backing rebels in DR Congo,Where are rebels causing havoc in eastern DR Congo getting their funding?
https://www.bbc.com/news/articles/c5yvd91j72eo,Three military-run states leave West African bloc - what will change?,"In a huge blow to Ecowas, Burkina Faso, Mali and Niger are leaving to forge ahead with their own group."
https://www.bbc.com/sport/formula1/articles/cq8k55exqvko,Rwanda and South Africa race to bring F1 back to Africa,"Rwanda and South Africa hope to host an African grand prix for the first time since 1993, but several expensive obstacles stand in their way."
https://www.bbc.com/news/articles/cy8pvw3xxxeo,US teen shot dead by father in Pakistan over TikTok videos,"Police are looking at all aspects of the case, including the possibility of an honour killing."
https://www.bbc.com/news/articles/cg5ydgeqrvqo,Who are the Israeli and Thai hostages just released by Hamas?,"In exchange for the Israeli hostages, 110 Palestinian prisoners will be released from Israeli jails."
https://www.bbc.com/news/articles/c3rwjnr12lwo,Thirty killed in crowd crush at India's Kumbh Mela festival,Pilgrims rushing to take part in ritual bathing trampled over people on the banks of the Ganges.
https://www.bbc.com/news/videos/ce85g0lz5npo,BBC reports from scene of India's Kumbh Mela crush,"Vikas Pandey and Samira Hussain explain how the chaos unfolded in northern India.
"
https://www.bbc.com/news/articles/cy9lp0z3edqo,In pictures: Welcoming the Lunar New Year,"Fireworks, music, lanterns, and dragon dancing filled streets across Asia to celebrate the Year of the Snake."
https://www.bbc.com/news/articles/cg5ydgeqrvqo,Who are the Israeli and Thai hostages just released by Hamas?,"In exchange for the Israeli hostages, 110 Palestinian prisoners will be released from Israeli jails."
https://www.bbc.com/news/articles/cx24pvgxn0no,Rescuers race to pull out truck driver stuck in Japan sinkhole for days,"The sinkhole in Yashio city has now grown to the size of a swimming pool, following road collapses."
https://www.bbc.com/news/articles/ckgn1dd6g1po,Australian police find explosives for possible antisemitic attack,"The explosives located in a caravan could have caused a 'potential mass casualty event', authorities have said."
https://www.bbc.com/news/articles/c3rwjnr12lwo,Thirty killed in crowd crush at India's Kumbh Mela festival,Pilgrims rushing to take part in ritual bathing trampled over people on the banks of the Ganges.
https://www.bbc.com/news/articles/ckgn1dd6g1po,Australian police find explosives for possible antisemitic attack,"The explosives located in a caravan could have caused a 'potential mass casualty event', authorities have said."
https://www.bbc.com/sport/cricket/articles/czdlryjj7vmo,"Australia batter Smith passes 10,000 Test runs","Australia batter Steve Smith passes the 10,000-run mark in Test cricket during the first day of his side's opening match in Sri Lanka."
https://www.bbc.com/news/articles/cy8xvnr5jv4o,"Australian feared dead in captivity is still alive, Russia says","Oscar Jenkins, a 32-year-old teacher, was captured last year while fighting for Ukraine."
https://www.bbc.com/news/articles/c74mjxmg10zo,Australian sect members guilty of causing girl's death,"The defendants had denied the diabetic girl her insulin, believing God would save her, a court heard."
https://www.bbc.com/sport/cricket/articles/c04nepk34pdo,Why are Australia so much better than England?,BBC cricket reporter Henry Moeran explores the possible reasons why the gap in quality between Australia and England is so significant in women's cricket. 
https://www.bbc.com/sport/cricket/articles/czdlryjj7vmo,"Australia batter Smith passes 10,000 Test runs","Australia batter Steve Smith passes the 10,000-run mark in Test cricket during the first day of his side's opening match in Sri Lanka."
https://www.bbc.com/sport/cricket/articles/c04nepk34pdo,Why are Australia so much better than England?,BBC cricket reporter Henry Moeran explores the possible reasons why the gap in quality between Australia and England is so significant in women's cricket. 
https://www.bbc.com/news/articles/ceq901dxjnzo,Far-right vote on asylum rocks German parliament,"Germany's Bundestag descends into recrimination after a ""firewall"" against working with the far-right cracks."
https://www.bbc.com/news/articles/c8971dxqezdo,Massive avalanche kills skier in French Alps,The Brazilian-Portuguese national was found dead by mountain rescuers.
https://www.bbc.com/news/articles/c1m5x1j3p2yo,Serbian PM quits after months of mass protests,Milos Vucevic's resignation follows months of nationwide demonstrations over the collapse of a station roof which killed 15.
https://www.bbc.com/news/videos/c5y7p58gepzo,"'Don't overdo it, Steve': BBC journalist in testy exchange with Belarus president","After an election win which has been widely criticised as illegitimate, Alexander Lukashenko faced questions from the BBC's Russia editor Steve Rosenberg."
https://www.bbc.com/news/articles/cde9r0xgk67o,Mona Lisa to be moved as part of major Louvre overhaul,"France's president says a second museum entrance will be built, while non-EU residents will also pay more to visit. "
https://www.bbc.com/news/articles/c8971dxqezdo,Massive avalanche kills skier in French Alps,The Brazilian-Portuguese national was found dead by mountain rescuers.
https://www.bbc.com/news/articles/cn0ygzj715ro,Ukrainian drone strike hits second Russian oil refinery in a week,The wave of drone strikes is Ukraine's second large-scale attack on Russia this week.
https://www.bbc.com/news/articles/cy8xvnr5jv4o,"Australian feared dead in captivity is still alive, Russia says","Oscar Jenkins, a 32-year-old teacher, was captured last year while fighting for Ukraine."
https://www.bbc.com/news/articles/c1m5x1j3p2yo,Serbian PM quits after months of mass protests,Milos Vucevic's resignation follows months of nationwide demonstrations over the collapse of a station roof which killed 15.
https://www.bbc.com/news/articles/cgly1we7gx4o,Colombian air force planes sent to fetch deportees from US,The planes' arrival paves the way for the US to lift visa restrictions imposed after a spat with Colombia.
https://www.bbc.com/news/videos/c8d9rq5m9rno,What to know about Trump's migrant deportation flights,The BBC's Ione Wells looks at the use of military planes in the new president's crackdown on illegal immigration.
https://www.bbc.com/sport/football/articles/c247r67g93qo,Neymar set for Santos after Al-Hilal deal terminated,Brazilian club Santos are in talks to re-sign Neymar after his contract with Saudi Pro League side Al-Hilal is cancelled by mutual consent.
https://www.bbc.com/news/articles/czdlvj32lgdo,Mexican workers set up tent city to house deportees from US,"As well as a place to sleep, returning Mexicans will receive food, medicine and help in obtaining documents."
https://www.bbc.com/news/articles/cz9eg8w32yzo,Trouble in Paradise: Battling crime wave in Trinidad & Tobago,Will the state of emergency declared in Trinidad and Tobago manage to quell the  crime wave?
https://www.bbc.com/news/videos/c8d9rq5m9rno,What to know about Trump's migrant deportation flights,The BBC's Ione Wells looks at the use of military planes in the new president's crackdown on illegal immigration.
https://www.bbc.com/news/articles/c1m5xym8541o,Selena Gomez's tears dismissed by Trump's 'border tsar',The star was seen sobbing in a now-deleted Instagram post about the president's immigration crackdown.
https://www.bbc.com/news/articles/c8634nwxd46o,Google Maps will rename Gulf of Mexico to Gulf of America in US,"It is the firm's ""longstanding practice"" to observe updates from official sources - in this case requested by Donald Trump."
https://www.bbc.com/sport/football/articles/c247r67g93qo,Neymar set for Santos after Al-Hilal deal terminated,Brazilian club Santos are in talks to re-sign Neymar after his contract with Saudi Pro League side Al-Hilal is cancelled by mutual consent.
https://www.bbc.com/news/articles/ce8j6rq855jo,Eight Israeli and Thai hostages released from Gaza,Three Israelis and five Thais were freed by Hamas amid chaotic scenes in Gaza.
https://www.bbc.comhttps://www.bbc.com/news/live/cr53e7e7yg3t,Israel delays release of Palestinian prisoners in response to chaotic hostage release in Gaza,"Three Israelis and five Thai nationals were freed earlier in what PM Benjamin Netanyahu called ""shocking scenes""."
https://www.bbc.com/news/articles/c8d9r0vg6v7o,Ahmed al-Sharaa named Syria's transitional president ,The country's de facto leader is appointed seven weeks after his faction overthrew Bashar al-Assad.
https://www.bbc.com/news/articles/cly5zmm186no,"Russia withdraws military equipment from Syrian port, images show",Moscow had moved columns of military vehicles to the port after the fall of Bashar al-Assad.
https://www.bbc.com/news/articles/c0e4zv94jvqo,'Half our house is gone': Palestinians face worst fears in north Gaza,"Hundreds of thousands of displaced have returned to the north since Monday, but many have found their homes in ruins."
https://www.bbc.comhttps://www.bbc.com/news/live/cr53e7e7yg3t,Israel delays release of Palestinian prisoners in response to chaotic hostage release in Gaza,"Three Israelis and five Thai nationals were freed earlier in what PM Benjamin Netanyahu called ""shocking scenes""."
https://www.bbc.com/news/articles/cy5kqqv56g1o,Inside the operation to bring Israel's hostages home from Gaza,"If anything goes wrong, it risks the hostages remaining in captivity, and reigniting the war."
https://www.bbc.com/news/articles/c20gpym140jo,"Israeli strike kills 10 Palestinians in West Bank, health ministry says","The Israeli military says it targeted what it describes as ""armed terrorists"" in the town of Tamoun."
https://www.bbc.com/news/articles/cx257j4v0xpo,"Israel's looming Unrwa ban a catastrophe, UN Palestinian refugee agency warns",The UN says critical aid deliveries into Gaza will be undermined when the ban starts on Thursday.
https://www.bbc.com/news/articles/c8d9r0vg6v7o,Ahmed al-Sharaa named Syria's transitional president ,The country's de facto leader is appointed seven weeks after his faction overthrew Bashar al-Assad.
