link,title,overview,thumbnail_explaination,upload_time
ttps://www.bbc.comhttps://www.bbc.com/news/live/cy7kxx74yxlt,Nineteen bodies recovered after passenger jet collides with helicopter over Washington DC river,"The US Figure Skating association confirms ""several members of the skating community"" were on board the flight, which was arriving from Kansas.",Emergency response units assess airplane wreckage in the Potomac River near Ronald Reagan Washington Airport ,None
ttps://www.bbc.comhttps://www.bbc.com/news/live/cr53e7e7yg3t,"Israeli hostage Agam Berger released in Gaza, with seven more hostages set to be freed today","In total, three Israeli and five Thai nationals are set to be freed this morning, with more than 100 Palestinian prisoners expected to be released later.",None,None
ttps://www.bbc.comhttps://www.bbc.com/news,More news,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/culture,Culture,None,None,None
ttps://www.bbc.comhttps://cloud.email.bbc.com/InHistory_newsletter_signup?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=inhistory&at_campaign_type=owned,In History,"Discover the headlines from this week in history. See the past come to life through the BBC's unique archive, in your inbox every Thursday.",In History,None
ttps://www.bbc.comhttps://bbc-global.onelink.me/Ezi6/n4y4nlv7,Download the BBC app,Click here to download the BBC app for Apple and Android devices.,Download the BBC app,None
ttps://www.bbc.comhttps://cloud.email.bbc.com/RoyalWatch_Newsletter_SignUp?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=royalwatch&at_campaign_type=owned,Royal Watch,"The full story on the Royal Family, in your inbox every Thursday.",Royal Watch,None
ttps://www.bbc.comhttps://www.bbc.co.uk/programmes/w13xtvsd,Listen to The Global Story,"Global perspectives on one big story. In-depth insights from the BBC, the world's most trusted international news provider.",Listen to The Global Story,None
ttps://www.bbc.comhttps://account.bbc.com/auth/register/email?ab=o13&action=register&clientId=Account&context=international&isCasso=false&nonce=ZhRJnl8N-Nzg4mlepfcUAP3WaQY2IhgqHUUw&ptrt=https%3A%2F%2Fwww.bbc.com%2F&realm=%2F&redirectUri=https%3A%2F%2Fsession.bbc.com%2Fsession%2Fcallback%3Frealm%3D%2F&sequenceId=afd616da-9f13-432d-a54d-95c9f32d1f0b&service=IdRegisterService&userOrigin=BBCS_BBC,Register for a BBC account,Don't have time to read everything right now? Your BBC account lets you save articles and videos for later. ,Register for a BBC account,None
ttps://www.bbc.comhttps://cloud.email.bbc.com/SignUp10_08?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=essentiallist&at_campaign_type=owned,Subscribe to the Essential List,"The week’s best stories, handpicked by BBC editors, in your inbox every Tuesday and Friday.",Subscribe to the Essential List,None
ttps://www.bbc.comhttps://cloud.email.bbc.com/bbcnewsignup2?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=newsbriefing&at_campaign_type=owned,Sign up to News Briefing,News and expert analysis for every schedule. Get the morning and evening editions of our flagship newsletter in your inbox.,Sign up to News Briefing,None
ttps://www.bbc.comhttps://www.bbc.com/news/us-canada,US & Canada news,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/news/topics/c2vdnvdg6xxt,Israel-Gaza war,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/news/war-in-ukraine,War in Ukraine,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/news/world,More world news,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/video,Video,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/sport,Sport,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/sport/cricket/live/cx2nwlv97rwt,King puts England into a spin as tourists crumble to 144-8,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/sport/football/live/c4g3zv9r95pt,Watch every Champions League goal; plus transfer news on Duran & Watkins,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/business,Business,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/innovation/technology,Tech,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/innovation/science,Science & health,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/culture,Culture,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/arts,Arts,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/travel,Travel,None,None,None
ttps://www.bbc.comhttps://www.bbc.com/future-planet,Earth,None,None,None
