Rating,User,Category,Age,Date,Review,Review_cate
5,하나투어 회원,아동동반 여행으로 좋아요,40대,2025.01.22,일본은 처음 방문하고 아이와 함께 가는 거라 자유여행과 패키지여행 중 고민이 많았어요 그러다 일정구성이 좋고 이동이 편한 이번 패키지를 선택하게 됐어요 설레는 맘으로 도착한 인천공항에서 송현희 가이드님을 만나 설명을 듣고 일본으로 출발!! 칸사이공항에 도착해서 가이드님께서 나가는 법을 잘 설명해주셔서 당황하지 않고 무사히 공항을 빠져나갔어요 가이드님께서는 이번 패키지 팀 이름도 모두 외우신건지!! 계속 이름을 불러주시며 얘기를 해주시는게 좋았어요 ^^ 이번 여행은 날씨&교통 요정이 도와준 덕에 날씨는 너무 화창하니...,"객실이 깨끗해요
일정이 알차요
가격만큼 가치 있어요
가이드가 재밌어요"
5,imp****,아동동반 여행으로 좋아요,40대,2025.01.21,일본은 처음이라 패키지로 다녀온 여행 송현희가이드님의 외모에 반하고 개그맨 뺨치는 재미 유머 웃음 특히 배우를 뛰어넘는 그 누구도 따라할수없는 연기력는 정말 최고중의 최고여서 반하지 않을수 없었어요 매번 사소한거 다 챙겨주시고 이동시간 지루하지 않게 일본역사 문화 주의사항 귀에 쏙쏙 박히게 설명 잘해주시고 각종 에피소드와 개인인생사 얘기는 너무재미있어서 잊지못할거같아요 가이드님의 열정모드와 같이 버스탄 일행분들 모두 천절하셔서 기억에 남은 일본 첫 여행이였어요 재미있었어요.,"가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요
일정이 알차요"
5,mi-***,가족여행으로 좋아요,40대,2025.01.20,김민좌 가이드님과 함께힌 가족 여행 최고였어요 오랜 내공으로 전문적 지식과 편안하게 인솔해 주신 덕분에 네식구 여행 너무 너무 좋았습니다 다음 일본 여행지에서도 또 뵐 수 있었으면 좋겠습니다 -공항에서 짐 찾는 순간까지 함께 해 주셨어요 -열외자 없이 여행지에서 상세한 약속장소 시간 안내 최고 였어요 -역사적 설명에 재미있는 경험담까지 설명 듣는 내내 재미 있었어요 -멤버들을 금방 다 기억해 주시고 이름까지 불러 주셔서 감사했어요,"객실이 깨끗해요
호텔이 시내에 있어요
일정이 여유로워요
현지 음식이 맛있어요
가이드가 전문적이에요"
5,spa***********,가족여행으로 좋아요,10대,2025.01.20,첫 해외여행이었는데 정말 즐겁고 재미있는 여행으로 기억에 남을 일본여행을 할 수 있었던 것 같아요. 첫 해외여행이라 나름대로 걱정이 많았는데 김동규가이드님이 너무 친절하고 세심하게 인솔해주셔서 너무 편안한 여행이 되었던 것 같아요! 해외여행이 처음이시거나 가족분들과 함께 일본여행을 하고 싶은 분들께 정말 강추드리고 싶어요! 추가적으로 김동규가이드님 너무 감사드려요. 친절하시고 꼼꼼하게 챙겨주시면서 안내해주셔서 너무 편안한 여행이 되었던 것 같아요. 즐거운 추억을 만들어주셔서 정말 감사합니다!,"호텔이 관광지와 가까워요
호텔 부대시설이 좋아요
일정이 알차요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요"
5,ara*********,가족여행으로 좋아요,30대,2025.01.17,"가족과 함께했던 첫 해외 여행~♡ 일정이 빡빡 하지도 부족하지도 않고 알찼었던😍 패키지로 가다보니, 저희 가족 외에 다른 가족들과도 함께했는데 서먹함없이 잘 지냈고, 여행을 함께 한 모든 분들을 안전하게 첫날부터 마지막 날까지 운전해주신 기사님 ! 오쿠다상~ ありがとうございます~♡♡ 그리고 여행내내 제일 중요한 분이셨던~ 우리 박수경 ( 박상 ) 가이드님😘😘 짧다면 짧고, 길다면 길던 3박4일동안 정말 감사드리고, 수고하셨습니다😍 어쩜~ 귀에 쏙쏙 들어오게 설명 하시는지! 게다가 어찌나 재미있게 말씀을 해주시던지~ 하루하루 ...","호텔이 관광지와 가까워요
일정이 알차요
현지 음식이 맛있어요
가격만큼 가치 있어요
가이드가 재밌어요"
5,hig***,가족여행으로 좋아요,40대,2025.01.16,가족과의 일본여행이 처음이라 걱정했는데 다양한 경험을 할 수 있었어요. 특히 경태훈 드라이빙 가이드님이 이동하는 장소와 즐길 거리에 대해 알기쉽게 설명해주셔서 관광을 더 즐겁게 즐길 수 있었답니다. 편안하고 즐거운 여행되었어요.,"객실이 깨끗해요
일정이 알차요
가격만큼 가치 있어요
현지 음식이 다양해요"
5,kir******,가족여행으로 좋아요,40대,2025.01.13,"처음 간 일본여행 대만족입니다. 이번엔 지인들과 갔는데 다음엔 가족들과 한번 더 가고 싶어요. 행복하고 즐거운 여행이었어요. 특히 이수빈가이드님의 전문적이고 친절한 설명, 어떤 질문에도 항상 밝고 따뜻하게 말씀해주셔서 감사했어요. 전반적으로 만족스러운 여행이었습니다.","호텔이 관광지와 가까워요
일정이 알차요
현지 음식이 맛있어요
가이드가 전문적이에요
가이드가 열정적이에요"
4,986*****,커플여행으로 좋아요,50대,2025.01.08,처음방문한 일본 기대가 컷던 만큼 조금은 아쉬웠던 여행이였네요~일본신정을 쉬는연휴인줄 모르고 계획한여행 ~많은사람들로 부적이는 조금 힘든 여행이였네요 그래도 이수빈 가이드님의 차분하고도 전문적인 인솔로 다소많게 느껴던 30명이 넘는 인원을 조금의 불펀함도 느낄 수가 없었네요~최선을 다하는 모습에 감사드리며 일행분들 또한 정말 좋은분들이여서 지금도 생각이나네요~제대로 인사도 못하고 헤어져서 아쉬운 마음이였는데 우연히 한국 에서 마주칠줄이야~이수빈가이드님 또 다른 여행으로 같이하고싶네요,"객실이 깨끗해요
일정이 여유로워요
현지 음식이 다양해요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
4,kan********,가족여행으로 좋아요,50대,2025.01.07,여행 첫날 자유로운 오사카 시내 관광과 쇼핑은 정말 굿... 세쨋날 멋진 뷰가 함께하는 스시 정식~ 너무 맛있고 좋았어요. 또한 오사카 성에서 가이드님의 전문적인 설명은 정말 굿.... 새롭게 알게된 많은 지식들이 많아지는 시간이었다.,"객실이 깨끗해요
즐길 거리가 다양해요
식당 뷰가 좋아요
가격이 합리적이에요
가이드가 전문적이에요"
5,gub*******,가족여행으로 좋아요,30대,2025.01.04,"신용섭 가이드님 덕분에 좋은 관광이 되었습니다. 일본의 첫 관광으로 4일 오사카, 교토를 관광하며 만족스러운 시간이 되었습니다. 가이드님께서 일본의 역사에 대한 설명 등 자세히 해주셔서 유익한 시간이 되었습니다. 나날이 발전하시길 바라겠습니다.","가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요
일정이 여유로워요"
4,bbc*****,아동동반 여행으로 좋아요,40대,2025.01.02,"첫 일본여행이라 패키지로 선택했어요 아이들과 버스만 타면 목적지까지 태워주시니 편했어요~ 연말이라 사람들이 정말 많아서 저녁 식당가도 웨이팅은 기본이었으나, 가이드님의 추천으로 갔던 스시집은 정말 최고였어요~👍 기다린 보람이 있었죠~^^ 많이 걷는 일정들이라 다리에 감각이 없을정도로 걸어서~ 편한 운동화는 필수예요.","객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 열정적이에요"
5,띠니맘,친구모임으로 좋아요,50대,2024.12.20,지인들과 모녀동반으로 처음 패키지 여행을 다녀왔습니다. 볼거리 .먹거리도 좋았구요! 날씨도 너~무 좋았고 친절하고 배려깊은 가이드님 덕분에 즐거운 여행 되었습니다~ 다음 여행도 하나투어와 함께 하고 싶네요~~,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
5,ang*****,가족여행으로 좋아요,40대,2024.12.19,"호주여행때도 가이드님이 정말 잘 해 주셔서 기억에 남았는데, 이번 일본여행도 가이드님의 친절함과 열정에 감사드려요. 버스 이동할때마다. 그 지역의 역사와 특징적인 설명을 해주시는 부분이 제일 좋았습니다. 제가 첫날부터 눈이 아파 눈을 감고 있었지만 절대 잔거아님. ^^ 이번 여행은 아이 위주 여행이었는데 정말 잘 간거 같은게 아이가 SNS검색하고 맛집 탐방하고, 현지인들과 적극적으로 소통할려는 모습이 넘 좋았습니다. 저렇게 적극적일 줄이야. ㅋㅋ 짧은 일정중 마지막 점심은 아이도 저도 참 맛있게 먹었습니다. 호주 가이드님과 ...","현지 음식이 다양해요
호텔이 관광지와 가까워요
가이드가 전문적이에요
가이드가 열정적이에요"
4,spe******,가족여행으로 좋아요,50대,2024.12.19,우리 민짱가이드님의 전문성과 편안한설명으로 정말로 편하게 다녀왔어요 매방문지마다 자세한 알림으로 길을 쉽게 찾을수있도록 해주었으며 패키지여행은 많이 다녔지만 이렇게 열정과 세심한배려로 편한한 가족여행이었네요 호텔이 도심과 가까워서 좋았으나 호텔 컨디션은 청결문제는 해결을 해야할듯 (공청내부및 화장실 환풍기등등),"호텔이 관광지와 가까워요
일정이 알차요
일정이 여유로워요
현지 음식이 맛있어요
가이드가 배려 깊고 세심해요"
4,sky****,가족여행으로 좋아요,40대,2024.12.14,엄마와 처음가본일본오사카 한국의 경주같았습니다 산책하기좋고 간식거리들이 다양하고 맛있었습니다 패키지라 일찍일어나야하는게 조금힘들었지만 그래도알차고 온천 또한 아늑하고 좋았습니다.,"호텔이 관광지와 가까워요
호텔이 시내에 있어요
식당이 청결해요
가이드가 전문적이에요
가격이 합리적이에요"
4,ejy*****,친구모임으로 좋아요,50대,2024.12.05,친구들과 함께 하는 첫 여행이라서 패키지 여행을 선택했습니다. 일행 모두가 만족하는 여행이었습니다. 다음에도 하나투어와 함께하는 여행이 될거 같습니다. 숙소도 깨끗하고 여행일정도 알챠고해서 다음여행지를 어디로 할지 고민중입니다.,"호텔이 시내에 있어요
일정이 알차요
가격만큼 가치 있어요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요"
5,bm_***,가족여행으로 좋아요,50대,2024.11.25,"아라시야마, 교토, 오사카, 고베 각각 개성 있고 아름다운 곳이었어요. 특히 처음 가본 아라시야마 기억에 남네요. 식사도 다 좋았고, 호텔도 깨끗하고 조식 식당은 작지만 알찬 구성으로 다 맛있었습니다. 도톤보리 시내에 위치한 호텔이라 저녁에 주변을 구경하기도 좋았습니다. 다음에도 또 가고 싶은 일정입니다. 이번에 함께 한 배혜원 가이드님은 고객들 니즈에 맞는 필요한 정보만 딱 정리해서 머리에 쏙 들어오게 잘 설명해 주시고 일정도 효율적으로 운영해 주셔서 각 목적지마다 열정적인 설명과 안내도 받으면서 동시에 자유시간도 아쉬움 없이 ...","가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
일정이 여유로워요
호텔이 시내에 있어요"
5,hsh****,가족여행으로 좋아요,30대,2024.11.21,비교적 신혼부부인 우리커플은 오사카와 근교를 여행하고 싶었지만 언어와 교통의 장벽으로 인해 패키지를 알아보던 중 우연히 하나투어 패키지를 보았고 선택했고 결과는 대성공이었습니다 알찬 구성 덕분에 바유여행으로는 들르지못할 많은 곳들을 구경할 수 있었어요 특히나 송재영 가이드님은 꼼꼼하시고 재미있으셔서 여행내내 유쾌한 분위기를 조성해주셨어요 건강에 대해서도 박학하셔서 좋은 제품 추천도 많이 해주셨어요 비교적 자유시간을 많이 주셔서 이곳저곳 둘러볼수있어서 좋았답니다 같이 여행하시는 분들중에는 어르신들이 많이 계셨는데 젊다고 이쁘게 봐...,"호텔에서 쉬기 좋아요
일정이 알차요
식당이 청결해요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
5,cer****,가족여행으로 좋아요,20대,2024.11.15,2박3일 오사카여행 가족들이랑 재미있게 다녀왔어요! 김미림 가이드님께서 세심하게 챙겨주셔서 감사했습니당~ 첫날 비행시간이 너무 빨라서 여행내내 피곤하긴했지만 여기저기 알차게 잘 다녀온 것 같아요. 날씨도 너무 좋았구요!! 가족여행으로 오사카패키지 추천합니다bb,"일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요
가이드가 열정적이에요"
4,okzldnl,가족여행으로 좋아요,20대,2024.10.27,여름의 오사카는 더웠습니다❤️‍🔥 하지만 한수아 가이드님 덕분에 일본과 한국의 숨은 이야기들을 들으며 흥미롭게 관광할 수 있었습니다 :) 패키지라 여행일정이 여유롭지 않고 촉박할 것 같았는데 구성이 알차고 관광하기에 충분한 시간을 주셨으며 한국인 입맛에 맞는 일본의 다양한 음식을 맛볼 수 있어 좋았습니다! 다음번에도 하나투어 패키지! 이용하겠습니다🩶,"객실이 깨끗해요
일정이 알차요
일정이 여유로워요
현지 음식이 맛있어요
가격이 합리적이에요"
5,hj0***,가족여행으로 좋아요,40대,2024.10.26,우리가족 첫 해외여행이였어요~~ 아이들 데리고 해외여행을 계획하다가 큰아이가 일본에 가자고해서 선택했어요~ 언어도 안되고 잘 모르는 곳이라 걱정했는데 가이드님이 공항에서 부터 친절하고 자세히 설명해주시고 현지에서는 가는 곳곳마다 이동하는 내내 목이 쉴 정도로 자세히 설명해주시고 맛집들도 알려주셔서 지루할 틈 없이 너무 즐거운 가족여행을 하고 왔어요~~ 짧다면 짧은 기간동안 오사카의 여러곳을 다녀보고 좋았습니다 야사카신사와 하나미코지 갔을때 게이샤를 준비하는 마이코?들이 먹는 간식이라며 가이드님이 맛보게해주신 과자도 맛있었어요~~...,"일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요"
